	Lumberjack Read Data List          Thu   20-MAY-21 22:46:47

	Engineering units
	X = TIME  Lumberjack format

	T1 = 20-MAY-2021 13:00:18.000	T2 = 20-MAY-2021 13:15:18.000

	 Trace 1				 Trace 2
       13500 points			        13500 points
    N:ISRCNT08 cnt    NML3  		     N;ISRCNT10 cnt    NML3  

       Time    	    Y1  	        Time    	    Y2
Thu May 20 13:00:18.006	225789828   	Thu May 20 13:00:18.006	2033721867  
Thu May 20 13:00:18.072	225789828   	Thu May 20 13:00:18.072	2033721867  
Thu May 20 13:00:18.139	225789828   	Thu May 20 13:00:18.139	2033721867  
Thu May 20 13:00:18.206	225789828   	Thu May 20 13:00:18.206	2033721867  
Thu May 20 13:00:18.272	225789828   	Thu May 20 13:00:18.272	2033721867  
Thu May 20 13:00:18.339	225789828   	Thu May 20 13:00:18.339	2033721867  
Thu May 20 13:00:18.405	225789828   	Thu May 20 13:00:18.405	2033721867  
Thu May 20 13:00:18.472	225789828   	Thu May 20 13:00:18.472	2033721867  
Thu May 20 13:00:18.539	225789828   	Thu May 20 13:00:18.539	2033721867  
Thu May 20 13:00:18.605	225789828   	Thu May 20 13:00:18.605	2033721867  
Thu May 20 13:00:18.672	225789828   	Thu May 20 13:00:18.672	2033721867  
Thu May 20 13:00:18.739	225789828   	Thu May 20 13:00:18.739	2033721867  
Thu May 20 13:00:18.805	225789828   	Thu May 20 13:00:18.805	2033721867  
Thu May 20 13:00:18.872	225789828   	Thu May 20 13:00:18.872	2033721867  
Thu May 20 13:00:18.939	225789828   	Thu May 20 13:00:18.939	2033721867  
Thu May 20 13:00:19.005	225789828   	Thu May 20 13:00:19.005	2033721867  
Thu May 20 13:00:19.072	225789828   	Thu May 20 13:00:19.072	2033721867  
Thu May 20 13:00:19.139	225789828   	Thu May 20 13:00:19.139	2033721867  
Thu May 20 13:00:19.206	225789828   	Thu May 20 13:00:19.206	2033721867  
Thu May 20 13:00:19.272	225789828   	Thu May 20 13:00:19.272	2033721867  
Thu May 20 13:00:19.339	225789828   	Thu May 20 13:00:19.339	2033721867  
Thu May 20 13:00:19.406	225789828   	Thu May 20 13:00:19.406	2033721867  
Thu May 20 13:00:19.472	225789828   	Thu May 20 13:00:19.472	2033721867  
Thu May 20 13:00:19.539	225789828   	Thu May 20 13:00:19.539	2033721867  
Thu May 20 13:00:19.606	225789828   	Thu May 20 13:00:19.606	2033721867  
Thu May 20 13:00:19.672	225789828   	Thu May 20 13:00:19.672	2033721867  
Thu May 20 13:00:19.739	225789828   	Thu May 20 13:00:19.739	2033721867  
Thu May 20 13:00:19.805	225789828   	Thu May 20 13:00:19.805	2033721867  
Thu May 20 13:00:19.872	225789828   	Thu May 20 13:00:19.872	2033721867  
Thu May 20 13:00:19.939	225789828   	Thu May 20 13:00:19.939	2033721867  
Thu May 20 13:00:20.005	225789828   	Thu May 20 13:00:20.005	2033721867  
Thu May 20 13:00:20.072	225789828   	Thu May 20 13:00:20.072	2033721867  
Thu May 20 13:00:20.139	225789828   	Thu May 20 13:00:20.139	2033721867  
